Asset 1,Asset 2,Copula,Param 1,Param 2,Log-Likelihood
BTC-USD,VIXY,Student-t,-0.09160613858359501,2.1,414.6989597693773
BTC-USD,VIXY,Clayton,0.0001,,-0.1982573199809773
ETH-USD,EURUSD=X,Gaussian,0.0081011209673887,,0.061437672005013155
ETH-USD,EURUSD=X,Student-t,-0.10649521145614724,2.1,393.22848674812303
ETH-USD,EURUSD=X,Clayton,0.0001,,-0.18468448306135532
ETH-USD,GLD,Gaussian,0.12107417453452982,,13.816296100168984
ETH-USD,GLD,Student-t,0.12054142313106586,2.1,419.87529919958706
ETH-USD,GLD,Clayton,0.0001,,-0.17570420818524735
ETH-USD,MSFT,Gaussian,0.14736720387196112,,20.54145894413159
ETH-USD,MSFT,Student-t,0.14736720387196112,5.0,139.73799747049725
ETH-USD,MSFT,Clayton,0.0001,,-0.1740260836437828
ETH-USD,QQQ,Gaussian,0.207155483500576,,41.034116737095246
ETH-USD,QQQ,Student-t,0.207155483500576,5.0,158.33782856428297
ETH-USD,QQQ,Clayton,0.0001,,-0.15896834381958724
ETH-USD,SPY,Gaussian,0.20968749550784938,,42.06642683294194
ETH-USD,SPY,Student-t,0.20968749550784938,5.0,160.12520307334216
ETH-USD,SPY,Clayton,0.0001,,-0.15891230686898367
ETH-USD,TLT,Gaussian,0.012625002714961992,,0.14922707319146866
ETH-USD,TLT,Student-t,-0.15390347718077632,2.1,376.6997881780553
ETH-USD,TLT,Clayton,0.0001,,-0.1797221673231859
ETH-USD,USDJPY=X,Gaussian,-0.00672016901882691,,0.04217552956652071
ETH-USD,USDJPY=X,Student-t,0.07149637533541124,2.1,399.6293160500363
ETH-USD,USDJPY=X,Clayton,0.0001,,-0.18591565360692358
ETH-USD,USO,Gaussian,0.02718163321394088,,0.6916344324326928
ETH-USD,USO,Student-t,-0.31578881876689846,2.1,276.9816881629504
ETH-USD,USO,Clayton,0.0001,,-0.1874178129334177
ETH-USD,VIXY,Gaussian,-0.1093508409929129,,11.252538731013374
ETH-USD,VIXY,Student-t,-0.1093508409929129,5.0,129.94471029873512
ETH-USD,VIXY,Clayton,0.0001,,-0.20091875744393686
EURUSD=X,GLD,Gaussian,-0.02097271626822061,,0.411389767476976
EURUSD=X,GLD,Student-t,0.22741028674421374,2.1,343.39017679845165
EURUSD=X,GLD,Clayton,0.0001,,-0.19052996562469962
EURUSD=X,MSFT,Gaussian,-0.0035248334197267002,,0.01159983650995855
EURUSD=X,MSFT,Student-t,0.04586072888608014,2.1,404.10828341628076
EURUSD=X,MSFT,Clayton,0.0001,,-0.1878811865725612
EURUSD=X,QQQ,Gaussian,0.04992040057719489,,2.3345269640021797
